"Add Connect To Top Links","Add Connect To Top Links"
"App Configuration","App Configuration"
"Box Count","Box Count"
"Button Count","Button Count"
"Color Scheme","Color Scheme"
"Connect me!","Connect me!"
"Connect/Login With Facebook","Connect/Login With Facebook"
"Connect with Facebook","Connect with Facebook"
"Content","Content"
"Dark","Dark"
"determines if FB plugins are enabled on frontend","determines if FB plugins are enabled on frontend"
"Enabled","Enabled"
"Font","Font"
"Layout Style","Layout Style"
"Left Column","Left Column"
"Light","Light"
"Like","Like"
"Like Buttons | Categories","Like Buttons | Categories"
"Like Buttons | Homepage","Like Buttons | Homepage"
"Like Buttons | Products","Like Buttons | Products"
"Login with Facebook","Login with Facebook"
"Login with FB!","Login with FB!"
"Mode","Mode"
"ORBA Facebook Pro Example Page","ORBA Facebook Pro Example Page"
"Nowhere","Nowhere"
"Recommend","Recommend"
"Right Column","Right Column"
"Send Button","Send Button"
"Show faces","Show faces"
"Standard","Standard"
"standard layout only","standard layout only"
"Verb To Display","Verb To Display"
"Visible in","Visible in"
"Width","Width"