"Add Connect To Top Links","Dodaj do Top Links"
"App Configuration","Konfiguracja aplikacji"
"Box Count","Boks"
"Button Count","Przyciski"
"Color Scheme","Kolorystyka"
"Connect me!","Połącz mnie!"
"Connect/Login With Facebook","Połącz/Zaloguj przez Facebook"
"Connect with Facebook","Połącz z Facebook"
"Content","Kontent"
"Dark","Ciemna"
"determines if FB plugins are enabled on frontend","określa, czy pluginy FB są włączone we frontendzie"
"Enabled","Włączono"
"Font","Czcionka"
"Layout Style","Styl layoutu"
"Left Column","Lewa kolumna"
"Light","Jasna"
"Like","Lubię"
"Like Buttons | Categories","Przyciski Like | Kategorie"
"Like Buttons | Homepage","Przyciski Like | Strona główna"
"Like Buttons | Products","Przyciski Like | Produkty"
"Login with Facebook","Zaloguj przez Facebook"
"Login with FB!","Zaloguj przez FB!"
"Mode","Tryb"
"ORBA Facebook Pro Example Page","Przykładowa strona ORBA Facebook Pro"
"Nowhere","Nigdzie"
"Recommend","Poleć"
"Right Column","Prawa kolumna"
"Send Button","Guzik Wyślij"
"Show faces","Pokaż twarze"
"Standard","Standardowy"
"standard layout only","tylko dla standardowego layoutu"
"Verb To Display","Czasownik do wyświetlenia"
"Visible in","Gdzie widoczny"
"Width","Szerokość"
"You don't have an email address in your Facebook account. Please add an email address to Facebook account and try again.","Nie masz adresu e-mail na swoim koncie na Facebooku. Dodaj adres e-mail do konta Facebook i spróbuj ponownie."
"There was a problem with Facebook Login: %s","Wystąpił problem z Facebookiem: %s"
"Can't connect with Facebook.","Nie można połączyć się z Facebookiem."